,Age,Ratio_Famincome_to_Pov,avgday_Energy_in_kcal,avgday_Protein_in_gm,avgday_Carb_in_gm,avgday_sug_in_gm,avgday_diet_fib_in_gm,avgday_fat_in_gm,avgday_Vitamin_E_in_mcg,avgday_Vitamin_A_in_mcg,avgday_Vitamin_B1_in_mg,avgday_Vitamin_B2_in_mg,Vitamin_B6_mg,Vitamin_B12_mg,added_Vitamin_B6_mg,Vitamin_C_mg,avgday_Vitamin_D_in_mg,avgday_Vitamin_K_in_mg,avgday_calcium_in_mg,avgday_phosporus_in_mg,avgday_magnesium_in_mg,avgday_iron_in_mg,avgday_zinc_in_mg,avgday_copper_in_mg,avgday_sodium_in_mg,avgday_potassium_in_mg,avgday_selenium_in_mg,avgday_caffeine_in_mg,avg_pulse_rate,body_mass_index,tot_cholestrol_mgperdL,white_blood_cell_count,red_blood_cell_count,hemoglobin_gperdL,avg_alc_drinks_per_day,avg_cig_per_day,exercise_days_per_week,vigorous_workdays_per_week,count
added_Vitamin_B6_mg,-0.03978778907013065,-0.02314248927314515,0.15971204981954265,0.1237306377702216,0.21277592552803926,0.2348269516074125,0.08324548897039406,0.07817746186551673,0.13898238903690058,0.1791272273045252,0.2964134792674863,0.603388667635869,0.7456137249261999,0.5211882603206708,1.0,0.08744112340923384,0.1983730457223081,-0.012928239529141352,0.18749292648231541,0.15272595621483911,0.1370760885596391,0.31536509199970064,0.2022668951222508,0.07291785769570491,0.1182624441460245,0.12307074495619219,0.09112225346815253,0.11833532793904225,0.01775051908007882,-0.010492623641534679,-0.01789689278546153,0.029482747943250273,0.055197748549342035,0.07890700747762956,-0.008933844729918816,0.02744803857374797,0.05386306828952091,0.08774299392318327,
Vitamin_C_mg,0.08788064250900736,0.06283519012338237,0.24183842664682015,0.2485889974386416,0.28918933746554093,0.28512660227745157,0.4053573066868986,0.1413733281146618,0.3179139350910766,0.27802450226002023,0.249824785281141,0.21365931086549736,0.2546732854671922,0.13346973082256988,0.08744112340923384,1.0,0.17944474687892503,0.34699663600736425,0.21813657080847806,0.25453208626454044,0.40160569777112654,0.23051781612989267,0.18167701610554016,0.2747085464559697,0.1821146828555095,0.5211318690648762,0.17340028491712547,-0.02192727018437938,-0.06041270278229555,-0.012454048053338305,0.013837900721574994,-0.04384916994511861,-0.001478657556087196,0.02162816884376021,-0.01615359106952364,-0.02530395629433121,0.09611750771544662,0.02068880641804626,
avgday_Vitamin_D_in_mg,0.02984613148260355,0.0242565620501957,0.324499396299073,0.4298332096094585,0.26919364423839476,0.23818150801107635,0.22455021756728244,0.28559893422228894,0.27513921043719497,0.46392868216920496,0.4382480923239897,0.4460355427923774,0.31999788901856013,0.4734578037358399,0.1983730457223081,0.17944474687892503,1.0,0.149874884410346,0.5574835884708491,0.5342457451562447,0.4236356355179851,0.42022678612627984,0.3487362258229044,0.2828641143680442,0.24468958856342418,0.45901769021077254,0.3662969308637916,0.008728470157760397,-0.046014529531822945,-0.050547385119996395,0.001443421954975505,-0.014198354283852056,0.04980942114043718,0.06314402585237565,-0.014858306699552504,-0.0026760550084675627,0.03803394256085976,0.017215204285470253,
avgday_Vitamin_K_in_mg,0.17641671305510204,0.14554090536422254,0.226730337641336,0.26720146723248905,0.15005686061986392,0.09418323143294181,0.3797542677716041,0.2535107479753297,0.3562584575889229,0.4019357406164959,0.17990250166378893,0.18981931103195787,0.17728516732464963,0.14072474538700375,-0.012928239529141352,0.34699663600736425,0.149874884410346,1.0,0.1860221845406891,0.24784206053516403,0.41534312653463923,0.22304167193026053,0.1727500371440468,0.31314784568812887,0.2358246682581731,0.4217779484010077,0.20392417323909193,0.06344114633557064,-0.0922565617096275,0.033542085537179946,0.08898468272771853,-0.0609302604984813,-0.02210711359561831,0.03103488838960291,-0.010136153192792171,-0.017499363640340868,0.13559481558739417,0.0007676352427673908,
avgday_calcium_in_mg,-0.05598267930347969,0.03312303318231641,0.6364290878073283,0.6188737224502396,0.5628086931785723,0.43145009803884854,0.4532342992341271,0.5830893063724288,0.40722985443141013,0.4878762264034662,0.6430943324648021,0.6512025155185229,0.3646611573077527,0.3855112266301194,0.18749292648231541,0.21813657080847806,0.5574835884708491,0.1860221845406891,1.0,0.811798280884793,0.6208427502936203,0.6087346177205075,0.5545187184732244,0.3258082819000069,0.5564961449031757,0.6161327251922515,0.5076784526282209,0.06794233939530761,-0.05274230953041089,-0.03398794931125853,-0.026486960177957496,0.01796114943527443,0.10301568270301396,0.12664775993577468,0.0017307295575709378,0.00654038135048238,0.06793188910613633,0.07375534579962291,
avgday_phosporus_in_mg,0.04081220293672135,0.0630677255967249,0.8402175795173176,0.8920394131456421,0.6796250906765271,0.47340705157279933,0.5932026615909399,0.7727644565815662,0.5575274564811276,0.4717593576902777,0.7207932562878875,0.7112194568415159,0.5145425539080004,0.47201958145390627,0.15272595621483911,0.25453208626454044,0.5342457451562447,0.24784206053516403,0.811798280884793,1.0,0.8011360613071254,0.6914349643918483,0.717091329995372,0.49525207155265266,0.7656803824904169,0.8083601861376282,0.7570660624391924,0.14159224451212118,-0.11304418233420853,0.0003683412454840522,0.011973915796442889,-0.002579780601699666,0.1464597277122485,0.19818813531444177,0.012214812340095816,0.005338296698357148,0.08934809113127384,0.11499967890629856,
avgday_magnesium_in_mg,0.2062000051800745,0.1579569642244432,0.6869754409290041,0.7279268395428362,0.5789737868156339,0.35778039679181683,0.7777555459335699,0.5821245558722064,0.6403541509845595,0.4666987169810471,0.6133502121093979,0.6033543501390469,0.5128796340585258,0.36169884529531293,0.1370760885596391,0.40160569777112654,0.4236356355179851,0.41534312653463923,0.6208427502936203,0.8011360613071254,1.0,0.6293012601023643,0.6130395680196489,0.6104763206046536,0.556095499485979,0.8633404717869403,0.5996726061110956,0.23458286953984223,-0.16277604166229892,0.016226365651941275,0.08549296956329741,-0.028375274570869222,0.10782017833669708,0.2037340988800169,0.017310650703306552,-0.008395331745187702,0.17925363911588843,0.1005955914651497,
avgday_iron_in_mg,0.01302313575112139,0.01220290542724836,0.6754285009012209,0.6285573052481096,0.6640955230284251,0.4196597163771177,0.5864815421699147,0.5603779541918698,0.45529046680713786,0.435919953226395,0.7913769539487847,0.621299672313086,0.4924369010883593,0.43797513736588417,0.31536509199970064,0.23051781612989267,0.42022678612627984,0.22304167193026053,0.6087346177205075,0.6914349643918483,0.6293012601023643,1.0,0.6464836566912129,0.4399132064636534,0.6150839114668418,0.6120435361306998,0.5686612007831711,0.06528313573961217,-0.08364313424516799,-0.06377109798971572,-0.026976739050060993,-0.01456322038767168,0.10745840061828375,0.1331072154064323,-0.007957920576777808,-0.000704970333224349,0.04572202492104864,0.056412219937826524,
avgday_zinc_in_mg,0.04740754442901664,0.06174566381815658,0.6265030937953997,0.7516270402319776,0.47566984068052265,0.3153235690540506,0.4214055167038914,0.5729336103881961,0.4113751757019449,0.3524863914613918,0.5681444578747356,0.571605309307979,0.47237237124906667,0.5678948060243965,0.2022668951222508,0.18167701610554016,0.3487362258229044,0.1727500371440468,0.5545187184732244,0.717091329995372,0.6130395680196489,0.6464836566912129,1.0,0.5248504853084356,0.6015034454898813,0.6051241820017003,0.6464460975800236,0.10468568106902457,-0.10315971810993649,0.0014457480916285745,0.0249680614232149,0.011276756398026899,0.12436174378812741,0.1774051514699012,0.0013233237573906194,0.002573182116419623,0.07803677537832782,0.09821680247337343,
avgday_copper_in_mg,0.14703129120033767,0.1209191059264873,0.43473372741351984,0.4680423434565417,0.3370678134363885,0.20051469201509975,0.49772339596528664,0.4227842412826988,0.4655800927187597,0.6545921746990335,0.3782054836833217,0.4181479959156046,0.3145559036616109,0.695188066696446,0.07291785769570491,0.2747085464559697,0.2828641143680442,0.31314784568812887,0.3258082819000069,0.49525207155265266,0.6104763206046536,0.4399132064636534,0.5248504853084356,1.0,0.36552469560358164,0.5262101263492348,0.430497186073205,0.09416083925669463,-0.11296048504884487,0.001322418367324044,0.060560787633992405,-0.02315569631355366,0.052088773201013766,0.10529833586371705,-0.0013124228269606264,-0.007870607852964357,0.10693282257559752,0.04658131744950155,
avgday_sodium_in_mg,0.0007919801549047136,0.03369708974791248,0.8199469230139395,0.7929501459748308,0.6701466127861053,0.40523977259355276,0.4568455469633518,0.78538361503845,0.4725795858810752,0.28088454070467445,0.6507103419933754,0.5449229154420413,0.42189590409426403,0.3323194241534222,0.1182624441460245,0.1821146828555095,0.24468958856342418,0.2358246682581731,0.5564961449031757,0.7656803824904169,0.556095499485979,0.6150839114668418,0.6015034454898813,0.36552469560358164,1.0,0.6221530209087311,0.7356882119996934,0.13772241756538117,-0.10947627709971497,0.029256901241352804,-0.003178825755229204,-0.0028031919621169577,0.14139184454593637,0.17600015775622416,0.012205734598236139,0.005192133754099842,0.07890163390971125,0.1336518635778145,
